province_state,country_region,Bulanan,latitude,longitude,confirmed,deaths,recovered,active
Shaanxi,China,2022-02-28,35.1917,108.8701,79128,84,,
Shandong,China,2022-02-28,36.3427,118.1498,30732,196,,
Shanghai,China,2022-02-28,31.201999999999998,121.4491,110998,196,,
Shanxi,China,2022-02-28,37.5777,112.2922,7584,0,,
Sichuan,China,2022-02-28,30.6171,102.7103,39233,84,,
Tianjin,China,2022-02-28,39.3054,117.323,30537,84,,
Tibet,China,2022-02-28,31.6927,88.0924,28,0,,
Unknown,China,2022-02-28,,,58,18,,
Xinjiang,China,2022-02-28,41.1129,85.2401,27888,84,,
Yunnan,China,2022-02-28,24.974,101.48700000000001,53236,56,,
Zhejiang,China,2022-02-28,29.1832,120.0934,62972,28,,
,Indonesia,2022-02-28,-0.7893,113.9213,137483534,4080346,,
,Laos,2022-02-28,19.856270000000002,102.495496,3896817,16611,,
Johor,Malaysia,2022-02-28,1.4854,103.7618,8049085,111043,,
Kedah,Malaysia,2022-02-28,6.1184,100.3685,5610418,61902,,
Kelantan,Malaysia,2022-02-28,6.1254,102.2381,5426518,36119,,
Melaka,Malaysia,2022-02-28,2.1896,102.2501,2488256,27462,,
Negeri Sembilan,Malaysia,2022-02-28,2.7258,101.9424,3631361,37671,,
Pahang,Malaysia,2022-02-28,3.8126,103.3256,3166020,22902,,
Perak,Malaysia,2022-02-28,4.5921,101.0901,3898741,41066,,
Perlis,Malaysia,2022-02-28,6.4449,100.2048,261312,3896,,
Pulau Pinang,Malaysia,2022-02-28,5.4141,100.3288,5167719,49894,,
Sabah,Malaysia,2022-02-28,5.9788,116.0753,8019625,80600,,
Sarawak,Malaysia,2022-02-28,1.5533,110.3592,7146228,45442,,
Selangor,Malaysia,2022-02-28,3.0738,101.5183,24359558,282755,,
Terengganu,Malaysia,2022-02-28,5.3117,103.1324,2514018,21446,,
Unknown,Malaysia,2022-02-28,,,0,0,,
W.P. Kuala Lumpur,Malaysia,2022-02-28,3.139,101.6869,6544775,75769,,
W.P. Labuan,Malaysia,2022-02-28,5.2831,115.2308,362229,4237,,
W.P. Putrajaya,Malaysia,2022-02-28,2.9264,101.6964,334703,616,,
,Philippines,2022-02-28,12.879721,121.77401699999999,101714488,1545220,,
,Singapore,2022-02-28,1.2833,103.8333,14378659,25721,,
,Thailand,2022-02-28,15.870032,100.992541,74185185,630861,,
,Vietnam,2022-02-28,14.058323999999999,108.277199,74317388,1093717,,
,Brunei,2021-05-31,4.5353,114.7277,7230,93,6870,267
,Burma,2021-05-31,21.9162,95.956,4436743,99600,4095744,241399
,Cambodia,2021-05-31,11.55,104.9167,687710,4672,397275,285763
Anhui,China,2021-05-31,31.8257,117.2264,30964,186,30669,109
Beijing,China,2021-05-31,40.1824,116.4142,32783,279,32414,90
Chongqing,China,2021-05-31,30.0572,107.874,18523,186,18153,184
Fujian,China,2021-05-31,26.0789,117.9874,18715,31,17920,764
Gansu,China,2021-05-31,35.7518,104.2861,5992,62,5916,14
